OBJ_NME,zBest,zBestProb,zBestType,zBestSubType,zAltProb,zAltType,zAltSubType,zBestPars
10245-58161-0533,1.305897565005871,0.2338250114134431,QSO,QSO-LOWZ,[0.22313268 0.20053846 0.12796669 0.08873934],['QSO' 'QSO' 'GALAXY' 'GALAXY'],['QSO' 'QSO-MIDZ' 'GALAXY-PASS' 'GALAXY'],"[ 1.94016280e-02 -3.75527543e-01 -5.58738266e-02  1.17962262e-02
  7.83323664e+01 -7.28972811e+00  3.17351489e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
10246-58171-0188,0.44859336369125785,0.3748566207336097,QSO,QSO-LOWZ,[0.35616373 0.12872187 0.08700555 0.04223113],['QSO' 'GALAXY' 'GALAXY' 'STAR'],['QSO' 'GALAXY' 'GALAXY-PASS' 'STAR-M'],"[ 0.00809297  0.02425793  0.03544721 -0.01238994  2.50902353 -3.74141308
 -2.50075629  0.          0.          0.          0.        ]"
10246-58171-0344,1.484610134430987,0.6835954887522806,QSO,QSO-MIDZ,[0.10046572 0.08194793 0.0703919  0.06359897],['STAR' 'GALAXY' 'STAR' 'GALAXY'],['STAR-A' 'GALAXY-PASS' 'STAR-K' 'GALAXY'],"[ 1.42490178e-03  1.25655853e-02  2.10108316e-02 -3.40945507e-03
  3.20942695e+00 -7.68192186e+00  2.07887777e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
10246-58171-0364,2.044187636943198,0.5390410517025492,QSO,QSO,[0.19496410845627363 0.1520088213991402 0.11398601844203698 --],['QSO' 'QSO' 'GALAXY' --],['QSO-LOWZ' 'QSO-MIDZ' 'GALAXY-PASS' --],"[ 1.45981090e-02 -2.33504717e-02 -3.61474775e-02 -1.51630314e-03
 -4.35718533e+01  5.39003866e+01 -1.26822061e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
10246-58171-0447,0.9889625818356883,0.35356561362514805,QSO,QSO-MIDZ,[0.14861251 0.14128147 0.1345859  0.11281638],['QSO' 'GALAXY' 'GALAXY' 'STAR'],['QSO' 'GALAXY-PASS' 'GALAXY' 'STAR-A'],"[ 7.90421744e-04  5.83026797e-02  2.29725842e-02 -1.51587688e-02
  8.72534718e+00 -1.52198888e+01 -1.36652827e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
OBJ_NME,zBest,zBestProb,zBestType,zBestSubType,zAltProb,zAltType,zAltSubType,zBestPars
10247-58162-0218,0.44536603681455555,0.45772047671121885,QSO,QSO-LOWZ,[0.37106776 0.14164166 0.02082273 0.00874738],['QSO' 'GALAXY' 'STAR' 'STAR'],['QSO' 'GALAXY-PASS' 'STAR-B' 'STAR-WD'],"[ 6.26209150e-02 -6.24796881e-03  4.44578854e-02  1.99215861e-02
  1.95995073e+01 -2.59573309e+01  5.74241083e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
10247-58162-0261,1.1893042479836093,0.4657710948961745,QSO,QSO-MIDZ,[0.27102282 0.0817609  0.07778881 0.05966399],['QSO' 'STAR' 'GALAXY' 'STAR'],['QSO' 'STAR-K' 'GALAXY-PASS' 'STAR-WD'],"[ 0.00975278 -0.01305535 -0.00953307  0.01144947 -0.67227268  6.98655309
 -2.63050934  0.          0.          0.          0.        ]"
OBJ_NME,zBest,zBestProb,zBestType,zBestSubType,zAltProb,zAltType,zAltSubType,zBestPars
10247-58162-0716,1.8202625422144894,0.4182136583541344,QSO,QSO,[0.22609296 0.16662225 0.13806375 0.03108315],['QSO' 'GALAXY' 'STAR' 'STAR'],['QSO-LOWZ' 'GALAXY-PASS' 'STAR-WD' 'STAR-K'],"[ 5.74965083e-03 -1.27810102e-03 -5.62700514e-03 -3.18822035e-03
 -1.42458371e+00  7.62918945e+00 -6.63238341e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
10247-58162-0834,0.13110723819640585,0.8678917548289722,QSO,QSO,[0.05030082 0.04322261 0.01502941 0.01375802],['STAR' 'GALAXY' 'STAR' 'STAR'],['STAR-K' 'GALAXY-PASS' 'STAR-A' 'STAR-CV'],"[ 6.53068994e-02  8.68470158e-03  4.44979354e-03 -5.37010035e-02
 -4.31717814e+00  8.32030208e+00 -3.16356198e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
